id,code,stock_name
727,SH.600676,交运股份
728,SH.600711,盛屯矿业
729,SH.600741,华域汽车
730,SH.600835,上海机电
731,SH.600874,创业环保
732,SH.600499,科达洁能
733,SH.600435,北方导航
734,SZ.000100,TCL集团
735,SH.600978,宜华生活
736,SH.600027,华电国际
737,SZ.002050,三花智控
738,SH.601988,中国银行
739,SH.600048,保利地产
740,SH.601111,中国国航
741,SZ.002074,国轩高科
742,SZ.002190,成飞集成
743,SZ.002244,滨江集团
744,SZ.002266,浙富控股
745,SZ.002489,浙江永强
746,SZ.002343,慈文传媒
747,SH.601688,华泰证券
748,SH.601377,兴业证券
749,SZ.002475,立讯精密
750,SH.601233,桐昆股份
751,SZ.002589,瑞康医药
752,SH.601636,旗滨集团
753,SZ.300357,我武生物
754,SZ.002507,涪陵榨菜
755,SZ.002677,浙江美大
756,SH.600436,片仔癀
757,SH.603025,大豪科技
758,SH.600801,华新水泥
759,SZ.000301,东方市场
760,SH.600393,粤泰股份
761,SH.603005,晶方科技
762,SZ.300529,健帆生物
763,SH.601007,金陵饭店
764,SZ.002901,大博医疗
765,SZ.300487,蓝晓科技
766,SH.600309,万华化学
767,SH.600690,青岛海尔
768,SZ.000068,华控赛格
769,SZ.300451,创业软件
770,SH.600588,用友网络
771,SZ.002282,博深工具
772,SZ.002555,三七互娱
773,SZ.002762,金发拉比
774,SZ.300084,海默科技
775,SH.600452,涪陵电力
776,SZ.000042,中洲控股
777,SZ.300355,蒙草生态
778,SH.603568,伟明环保
779,SH.600018,上港集团
780,SZ.000975,银泰资源
781,SH.600774,汉商集团
782,SZ.000333,美的集团
783,SZ.300567,精测电子
784,SZ.000685,中山公用
785,SZ.002448,中原内配
786,SZ.300469,信息发展
787,SH.601155,XD新城控
788,SH.600633,浙数文化
789,SH.600657,信达地产
790,SZ.000651,格力电器
791,SH.603558,健盛集团
792,SZ.002339,积成电子
793,SH.600516,方大炭素
794,SZ.000998,隆平高科
795,SH.601811,新华文轩
796,SZ.002351,漫步者
