id,code,stock_name,industry,market,operation,useropenid
135,SH.600651,飞乐音响,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
136,SH.600868,梅雁吉祥,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
137,SH.600535,天士力,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
138,SZ.002092,中泰化学,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
139,SZ.002195,二三四五,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
140,SH.601901,方正证券,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
141,SZ.002302,西部建设,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
142,SH.601117,中国化学,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
143,SZ.002424,贵州百灵,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
144,SZ.002440,闰土股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
145,SZ.002497,雅化集团,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
146,SZ.002509,天广中茂,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
147,SZ.002635,安洁科技,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
148,SH.601929,吉视传媒,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
149,SZ.002657,中科金财,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
150,SH.603019,中科曙光,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
151,SZ.000061,农产品,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
152,SZ.000572,海马汽车,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
153,SZ.000630,铜陵有色,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
154,SZ.000729,燕京啤酒,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
155,SZ.000917,电广传媒,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
156,SZ.000970,中科三环,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
157,SH.600064,南京高科,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
158,SH.600110,诺德股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
159,SH.600176,中国巨石,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
160,SH.600277,亿利洁能,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
161,SH.600500,中化国际,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
162,SH.600612,老凤祥,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
163,SH.600739,辽宁成大,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
164,SH.600777,新潮能源,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
165,SH.600839,四川长虹,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
166,SH.600416,湘电股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
167,SH.600029,南方航空,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
168,SH.600491,龙元建设,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
169,SZ.002055,得润电子,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
170,SZ.002142,宁波银行,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
171,SZ.002544,杰赛科技,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
172,SZ.002223,鱼跃医疗,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
173,SZ.002273,水晶光电,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
174,SH.601633,长城汽车,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
175,SZ.002294,信立泰,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
176,SZ.002414,高德红外,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
177,SZ.002465,海格通信,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
178,SZ.002501,利源精制,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
179,SH.601211,国泰君安,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
180,SH.601567,三星医疗,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
181,SZ.002601,龙蟒佰利,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
182,SZ.000519,中兵红箭,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
183,SZ.000687,华讯方舟,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
184,SZ.000758,中色股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
185,SZ.000815,美利云,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
186,SZ.000980,众泰汽车,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
187,SZ.000998,隆平高科,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
188,SH.600160,巨化股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
189,SH.600171,上海贝岭,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
190,SH.600175,美都能源,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
191,SH.600261,阳光照明,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
192,SH.600372,中航电子,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
193,SH.600598,北大荒,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
194,SH.600674,川投能源,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
