,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,year,quanter
2430,002422,科伦药业,2.9325,122.7621,2.105,171.0214,0.8695,414.0311,2015,4
2431,603878,武进不锈,4.2274,85.1587,2.1046,171.0539,1.2255,293.7576,2015,4
2432,000062,深圳华强,5.6794,63.387,2.104,171.1027,0.9266,388.5172,2015,4
2433,300565,科信技术,3.286,109.5557,2.1022,171.2492,1.2788,281.5139,2015,4
2434,002283,天润曲轴,4.0172,89.6147,2.1019,171.2736,1.0161,354.2958,2015,4
2435,603877,太平鸟,18.1459,19.8392,2.101,171.347,2.1604,166.6358,2015,4
2436,300351,永贵电器,2.8202,127.6505,2.1002,171.4122,0.6433,559.6145,2015,4
2437,601668,中国建筑,7.5267,47.8297,2.0956,171.7885,1.1363,316.8177,2015,4
2438,002557,洽洽食品,30.1561,11.9379,2.0941,171.9116,1.1276,319.2621,2015,4
2439,002099,海翔药业,7.8958,45.5939,2.0909,172.1747,1.5215,236.6086,2015,4
2440,300203,聚光科技,1.9344,186.1042,2.0881,172.4055,0.818,440.0978,2015,4
2441,600960,渤海汽车,4.1214,87.34899999999999,2.0877,172.4386,0.5136,700.9346,2015,4
2442,002066,瑞泰科技,1.9545,184.1903,2.0866,172.5295,0.8126,443.0224,2015,4
2443,002026,山东威达,3.5368,101.7869,2.0865,172.5377,0.6315,570.0713,2015,4
2444,603718,海利生物,21.4778,16.7615,2.0862,172.5626,0.5551,648.5318,2015,4
2445,000413,东旭光电,5.5315,65.0818,2.0814,172.9605,0.3651,986.0312,2015,4
2446,600835,上海机电,9.183,39.2029,2.0804,173.0436,0.7748,464.63599999999997,2015,4
2447,002164,宁波东力,1.5076,238.7901,2.0795,173.1185,0.6528,551.4706,2015,4
2448,603688,石英股份,3.1324,114.9279,2.0783,173.2185,0.5258,684.671,2015,4
2449,300699,光威复材,1.1777,305.6806,2.0780000000000003,173.2435,0.7413,485.6333,2015,4
2450,300400,劲拓股份,2.4969,144.1788,2.0768,173.3436,0.6559999999999999,548.7805,2015,4
2451,603039,泛微网络,9.6877,37.1605,2.0753,173.4689,0.7697,467.7147,2015,4
2452,300202,聚龙股份,1.4899,241.627,2.075,173.49400000000003,0.6092,590.9389,2015,4
2453,603580,艾艾精工,5.0246,71.6475,2.0734,173.6279,1.4177,253.9324,2015,4
2454,000820,神雾节能,3.6153,99.5768,2.0703,173.8878,1.0049,358.2446,2015,4
2455,002773,康弘药业,23.5312,15.2988,2.0702,173.8962,1.2459,288.9477,2015,4
2456,000980,众泰汽车,2.9069,123.8433,2.0694,173.9635,0.657,547.9452,2015,4
2457,603800,道森股份,4.8591,74.0878,2.0688,174.0139,0.8048,447.3161,2015,4
2458,002714,牧原股份,,,2.0662,174.2329,1.4926,241.1899,2015,4
2459,300177,中海达,2.1371,168.4526,2.0651,174.3257,0.5471,658.015,2015,4
2460,000525,红太阳,7.443,48.3676,2.0639,174.4271,1.0475,343.6754,2015,4
2461,601669,中国电建,7.8894,45.6308,2.0608,174.6894,1.0386,346.6205,2015,4
2462,300061,康旗股份,5.3588,67.1792,2.0585,174.8846,1.4426,249.5494,2015,4
2463,600728,佳都科技,3.8048,94.6173,2.0578,174.9441,1.0487,343.2822,2015,4
2464,600883,博闻科技,0.8701,413.7455,2.0576,174.9611,0.0405,8888.8889,2015,4
2465,300152,科融环境,1.1255,319.8578,2.0526,175.3873,0.522,689.6552,2015,4
2466,600259,广晟有色,15.4976,23.2294,2.0471,175.8585,1.4128,254.8131,2015,4
2467,600289,*ST信通,2.7249,132.1149,2.0465,175.9101,0.5852,615.1743,2015,4
2468,300065,海兰信,1.0655,337.8695,2.0449,176.0477,0.3907,921.4231,2015,4
2469,600113,浙江东日,285.9987,1.2587,2.0444,176.0908,2.1947,164.0315,2015,4
2470,600237,铜峰电子,2.7096,132.8609,2.0438,176.1425,0.4892,735.8953,2015,4
2471,603955,大千生态,1.6219999999999999,221.9482,2.0432,176.1942,0.525,685.7143,2015,4
2472,002161,远望谷,1.5934,225.93200000000002,2.0368,176.7478,0.6621,543.7245,2015,4
2473,002908,德生科技,2.9362,122.6075,2.0353,176.8781,0.9023,398.9804,2015,4
2474,601929,吉视传媒,9.6262,37.3979,2.0348,176.9216,0.6839,526.3927,2015,4
2475,600460,士兰微,3.6741,97.9832,2.0335,177.0347,0.8558,420.659,2015,4
2476,300360,炬华科技,2.9838,120.6515,2.0318,177.1828,0.7467,482.1213,2015,4
2477,300666,江丰电子,5.0038,71.9453,2.0298,177.3574,1.4097,255.3735,2015,4
