,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
205,300678,中科信息,0.52,-4.47,4.46,12.2,-0.28,3876.1,-4.47,,07-04
206,603676,卫信康,0.32,-48.39,1.28,25.01,0.29,11491.58,1.75,,07-03
207,002888,惠威科技,0.59,9.26,3.95,15.67,1.0,3704.46,10.89,,07-03
208,300677,英科医疗,1.18,18.0,6.89,18.8,1.08,8626.25,34.32,,07-03
209,601619,嘉泽新能,0.08,120.45,1.19,6.85,0.22,13696.87,163.3,,07-03
210,603612,索通发展,0.49,-10.91,7.83,6.46,1.25,8891.5,-10.77,,06-28
211,603707,健友股份,0.71,195.83,3.65,21.37,-0.8,25723.96,193.81,,06-28
212,002884,凌霄泵业,2.58,31.63,10.01,25.66,2.58,15009.18,31.82,,06-27
213,002887,绿茵生态,2.87,46.43,11.97,27.19,2.02,17190.68,46.48,,06-27
214,300676,华大基因,0.92,19.48,9.33,10.38,0.65,33269.09,26.93,,06-27
215,300675,建科院,0.29,35.17,2.61,11.51,0.79,3153.96,35.18,10派0.65,06-26
216,603387,基蛋生物,1.4,32.08,3.46,43.15,1.58,13835.69,31.68,,06-26
217,000511,*ST烯碳,-0.41,-20600.0,,-43.45,,-47425.93,-21015.43,,06-24
218,603595,东尼电子,0.85,13.33,3.36,28.83,0.45,6344.01,12.11,,06-22
219,300672,国科微,0.61,10.91,8.49,7.57,0.11,5110.89,23.15,,06-20
220,603757,大元泵业,1.96,90.29,5.41,43.49,1.92,12288.41,89.79,,06-20
221,603305,旭升股份,0.57,159.09,1.44,48.92,0.69,20361.64,152.94,,06-19
222,603730,岱美股份,1.23,39.77,8.61,33.02,1.85,44451.01,40.11,,06-19
223,603933,睿能科技,1.21,92.86,5.01,27.24,0.7,9342.05,92.87,,06-15
224,603331,百达精工,0.58,56.76,3.72,16.96,1.0,5556.47,55.78,,06-15
225,300671,富满电子,0.51,41.67,3.54,15.42,0.63,3846.25,38.83,,06-14
226,300670,大烨智能,0.67,-2.24,3.06,24.69,0.48,5439.44,8.47,,06-14
227,002885,京泉华,1.0,29.87,5.8,18.77,0.87,6002.28,29.14,,06-13
228,002886,沃特股份,0.94,-16.04,6.06,16.77,0.7,5515.82,-12.77,,06-12
229,603801,志邦股份,1.48,34.3,5.55,30.49,2.48,17779.08,34.3,,06-12
230,603617,君禾股份,0.74,54.17,3.17,26.27,0.77,5517.11,63.28,,06-12
231,300669,沪宁股份,0.69,81.58,3.51,21.83,0.77,4357.35,81.71,,06-09
232,603938,三孚股份,0.72,-2.7,4.8,15.15,0.48,8107.43,-3.08,,06-08
233,603043,广州酒家,0.75,13.64,2.67,30.66,1.06,26671.6,13.67,,06-07
234,002883,中设股份,1.01,68.33,4.18,30.14,-0.23,4051.39,67.92,,06-06
235,300667,必创科技,0.63,31.25,3.17,22.17,0.49,3226.04,33.01,,06-05
236,300668,杰恩设计,1.29,20.56,4.13,37.18,0.51,4082.61,23.36,,06-02
237,002882,金龙羽,0.34,23.47,2.25,16.27,0.51,11798.69,23.46,,06-02
238,603335,迪生力,0.26,30.0,1.82,15.87,0.1,5017.67,32.66,,06-01
239,603380,易德龙,0.68,23.64,1.86,42.53,0.66,8099.63,24.1,,06-01
240,603679,华体科技,0.64,12.95,3.53,19.79,0.51,4806.56,12.94,,05-31
241,002881,美格智能,0.58,45.0,2.85,22.81,0.04,4671.34,46.67,,05-31
242,300665,飞鹿股份,0.64,1.59,4.38,15.84,0.46,3665.42,13.58,,05-25
243,603226,菲林格尔,1.08,4.85,4.9,22.02,1.59,7018.43,4.4,,05-24
244,603980,吉华集团,0.96,-42.79,5.35,19.11,1.33,38227.04,-42.81,,05-24
245,603879,永悦科技,0.44,12.82,2.41,19.49,0.34,4731.39,13.45,,05-23
246,300666,江丰电子,0.33,120.0,1.77,20.96,0.37,5494.08,130.41,,05-23
247,002880,卫光生物,1.89,22.73,6.25,34.3,1.56,15322.7,22.72,,05-22
248,002879,长缆科技,1.12,5.66,6.95,17.42,1.09,11521.52,5.33,,05-22
249,603536,惠发股份,0.47,0.0,4.54,10.81,1.42,4211.95,-1.09,,05-22
250,300661,圣邦股份,1.79,14.69,5.84,34.5,1.73,8069.31,14.69,,05-18
251,300663,科蓝软件,0.43,19.44,4.4,10.38,-0.09,4277.35,21.24,,05-17
252,300662,科锐国际,0.46,-6.12,2.17,21.83,0.15,6154.89,-6.51,,05-17
253,002878,元隆雅图,0.89,20.27,4.2,23.28,1.12,5025.07,20.62,,05-17
254,603496,恒为科技,0.83,20.84,3.63,25.37,0.76,6202.15,20.83,,05-16
