,code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0,name_y,eps_2015q1,eps_yoy_2015q1,bvps_2015q1,roe_2015q1,epcf_2015q1,net_profits_2015q1,profits_yoy_2015q1,distrib_2015q1,report_date_2015q1
44,300507,苏奥传感,汽车配件,江苏,30.35,0.57,1.2,105018.9,81938.05,11798.44,30425.4,2.54,0.253,7.49,4.1,20160429,42996.1,3.58,6.71,4.99,31.94,18.36,14413.0,60,苏奥传感,0.42,,,7.66,0.06,2101.66,,,04-28
45,2798,帝欧家居,家居用品,四川,47.05,0.55,2.27,457675.66,257739.59,74720.0,247863.55,10.93,0.195,12.67,2.89,20160525,30270.63,1.34,935.55,2214.83,33.01,5.84,8330.0,69,帝欧家居,,,,,,-492.51,,,04-28
46,2787,华源控股,广告包装,江苏,62.43,1.04,2.88,138055.75,78573.96,33207.62,38914.05,1.35,0.042,3.54,2.98,20151231,35492.59,1.23,-4.73,-45.1,20.85,4.97,19920.0,173,华源控股,0.15,25.0,,3.21,,1545.05,21.56,,06-26
47,886,海南高速,路桥,海南,44.67,9.65,9.89,328619.0,230452.05,11225.35,94393.02,0.95,0.035,2.72,2.28,19980123,38298.4,0.39,-42.33,-37.91,59.69,29.67,104000.0,2035,海南高速,0.02,-11.54,,0.84,,2323.06,-8.51,,04-25
48,2368,太极股份,软件服务,北京,177.51,4.0,4.15,765766.13,563692.25,65381.5,97977.28,2.36,0.044,6.35,4.9,20100312,114864.27,2.77,10.21,8.06,18.04,1.28,20075.0,2186,太极股份,0.05,0.0,,0.62,,1247.01,-8.09,,04-24
49,600278,东方创业,商贸代理,上海,27.09,5.22,5.22,809394.06,476305.75,92595.86,96109.74,1.84,0.097,7.79,1.35,20000712,124624.3,2.39,27.15,16.99,4.42,1.1,29100.0,1866,东方创业,0.09,80.0,,1.59,,4758.93,99.55,,04-25
50,600487,亨通光电,通信设备,江苏,25.47,12.41,13.6,2861956.25,1960772.0,424240.69,320274.16,2.36,0.354,7.75,4.66,20030822,581441.25,4.28,38.24,73.48,21.12,7.61,107871.0,468,亨通光电,0.12,-40.82,,1.22,,5016.63,18.27,,04-30
51,2635,安洁科技,电脑设备,江苏,35.58,3.2,7.53,870673.38,322557.47,160682.02,480200.59,6.38,0.14,9.32,2.1,20111125,138757.48,1.84,44.1,15.6,34.63,16.79,47654.0,2217,安洁科技,0.18,5.88,,2.54,,3341.04,9.45,,04-24
52,600096,云天化,农药化肥,云南,46.35,11.22,13.21,6588968.0,3422675.25,2261141.5,513202.69,3.88,0.039,2.81,2.56,19970709,-312505.06,-2.36,-37.37,70.38,17.16,0.51,49671.0,2738,云天化,0.03,-105.96,,0.52,,2906.54,-105.97,,04-20
53,600117,西宁特钢,特种钢,青海,109.17,7.41,10.45,2444765.75,688503.56,1015957.69,204237.86,1.95,0.011,3.01,1.56,19971015,-13411.85,-0.13,42.53,3.88,16.54,0.68,73724.0,1342,西宁特钢,-0.11,-5.98,,-2.96,,-7871.13,-9.53,,04-28
54,600352,浙江龙盛,染料涂料,浙江,10.44,32.53,32.53,4946468.5,3247269.25,572867.75,155167.06,0.48,0.313,5.65,2.32,20030801,1327541.25,4.08,7.41,103.33,42.66,24.08,157100.0,2710,浙江龙盛,0.76,65.31,7.99,10.12,0.06,116572.06,65.98,,04-21
55,977,浪潮信息,电脑设备,山东,140.41,12.84,12.89,1911230.25,1695662.63,39927.1,422974.94,3.28,0.043,5.67,4.23,20000608,161578.47,1.25,96.5,-22.65,11.99,0.72,102503.0,1600,浪潮信息,0.14,-39.41,,2.92,,6905.1,30.2,,04-27
56,2127,南极电商,互联网,江苏,72.15,9.68,16.37,391908.19,237324.75,358.14,148083.27,0.9,0.055,1.9,8.28,20070418,111826.15,0.68,619.94,245.72,26.85,17.69,16605.0,1313,南极电商,0.01,-104.55,,0.92,,408.11,-104.13,,04-28
57,2271,东方雨虹,其他建材,北京,87.31,5.72,8.82,1295810.13,880306.81,197834.02,198450.2,2.25,0.112,7.27,5.38,20080910,396019.28,4.49,27.16,25.52,35.95,5.19,30454.0,1457,东方雨虹,0.13,-18.75,,1.28,,4418.31,-21.25,,04-28
58,2376,新北洋,电脑设备,山东,38.59,5.74,6.66,460242.66,243692.52,98888.21,102027.88,1.53,0.117,4.59,3.92,20100323,113470.36,1.7,49.31,22.76,42.26,14.49,25711.0,2628,新北洋,0.04,-42.86,,1.23,,2249.07,-44.17,,04-21
