,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,year,quanter
3243,600187,国中水务,-4.63,-24.83,32.2648,-117.8743,-0.0809,474.7048,0.3261,2015,4
3244,600137,浪莎股份,-4.69,-10.07,12.36,-20.6831,-0.2127,205.1959,2.1106,2015,4
3245,000721,西安饮食,-4.78,-6.34,37.9517,-31.6476,-0.0634,499.0016,0.9998,2015,4
3246,000630,铜陵有色,-4.8,-0.76,2.5989,-666.4327,-0.0697,86896.6041,9.0889,2015,4
3247,000005,世纪星源,-4.8,-65.66,31.5214,-55.2393,-0.0521,84.126,0.0794,2015,4
3248,002113,天润数娱,-4.83,-26.57,59.7035,-4.3882,-0.037000000000000005,16.5102,0.1394,2015,4
3249,600746,江苏索普,-4.86,-3.5,-0.4842,-20.3051,-0.0662,579.4095,1.8908,2015,4
3250,000959,首钢股份,-4.87,-6.37,1.3229,-1136.6211,-0.2148,17843.2328,3.3734,2015,4
3251,000795,英洛华,-4.9,-5.14,15.8384,-57.9543,-0.1303,1126.8054,2.535,2015,4
3252,300405,科隆股份,-4.92,-3.58,14.0916,-28.6919,-0.4219,800.0369999999999,11.7652,2015,4
3253,300161,华中数控,-5.07,-7.5,31.588,-41.358999999999995,-0.2557,550.7366,3.4049,2015,4
3254,002431,棕榈股份,-5.09,-4.8,17.2884,-211.46099999999998,-0.3839,4400.5075,7.9893,2015,4
3255,002702,海欣食品,-5.28,-4.84,30.2243,-39.5141,-0.1397,814.743,2.8809,2015,4
3256,002549,凯美特气,-5.29,-29.97,18.8652,-45.5162,-0.0802,151.8397,0.2677,2015,4
3257,300220,金运激光,-5.35,-8.12,34.7747,-14.868,-0.11800000000000001,182.9045,1.4516,2015,4
3258,002145,中核钛白,-5.36,-7.75,20.9093,-126.3665,-0.2359,1629.4038,3.0419,2015,4
3259,600456,宝钛股份,-5.47,-8.71,18.0763,-186.7757,-0.434,2142.1116,4.9785,2015,4
3260,000809,铁岭新城,-5.52,-521.62,3.6504,-179.3397,-0.2174,34.381,0.0416,2015,4
3261,002558,巨人网络,-5.61,-7.09,11.7727,-32.5378,-0.4971,458.2997,7.0022,2015,4
3262,300323,华灿光电,-5.74,-10.04,16.7464,-95.9639,-0.1421,955.3936,1.4153,2015,4
