,code,name,mbrg,nprg,nav,targ,epsg,seg
2982,600533,栖霞建设,-41.2309,-68.4155,-3.0887,9.4347,-72.273,-3.1848
2983,002399,海普瑞,18.102,-69.3905,-4.9692,2.1359,-66.7299,-4.9025
2984,603118,共进股份,15.4714,-70.7241,1.4398,4.3044,-87.7358,1.4544
2985,300291,华录百纳,-12.709000000000001,-70.889,0.2954,1.4299,-73.6699,0.4544
2986,600869,智慧能源,40.9832,-70.9659,2.1488,38.6112,-82.7457,-0.7093
2987,300303,聚飞光电,36.1832,-71.0366,-0.6273,14.3624,-78.2609,0.1327
2988,002759,天际股份,71.0565,-71.1948,0.258,6.3245,-83.3333,0.258
2989,600458,时代新材,-2.0769,-71.2338,2.3022,6.8524,-70.0,0.8542
2990,600984,建设机械,32.9747,-71.3754,0.8496,18.0159,-72.2696,0.7048
2991,000032,深桑达A,-13.3971,-71.4428,1.235,-1.4358,-56.5369,2.5575
2992,603335,迪生力,8.1906,-71.533,54.4735,27.691,-80.7692,60.111000000000004
2993,600212,江泉实业,-3.8076,-71.751,1.7790000000000001,-3.7246,-71.7566,1.7790000000000001
2994,600812,华北制药,-4.6191,-72.0361,-0.2023,4.0983,-63.6364,-0.1202
2995,002733,雄韬股份,6.2206,-72.4007,-2.1242,10.0295,-72.973,-1.9477
2996,300004,南风股份,-2.1679,-72.7754,0.7190000000000001,0.7053,-66.6667,0.6413
2997,300030,阳普医疗,6.2946,-72.9623,0.9999,18.7767,-60.0,1.113
2998,002522,浙江众成,17.8719,-73.233,31.0963,40.7199,-33.3333,24.9326
2999,600818,中路股份,-11.2569,-73.2644,7.5046,4.4065,-64.2857,13.8514
3000,000949,新乡化纤,11.6643,-73.3314,-0.1987,13.7294,-77.2642,-0.209
3001,300085,银之杰,22.4163,-73.5395,35.9996,48.7446,-72.8426,36.7063
3002,300141,和顺电气,33.442,-73.7009,-1.942,24.6209,-88.8889,-1.6559
3003,300491,通合科技,-2.5901,-73.8838,4.0386,6.5122,-86.2745,4.0386
3004,002041,登海种业,-49.8437,-73.8948,2.6813,-0.4811,-62.3085,4.3685
3005,603315,福鞍股份,-9.3328,-74.2313,50.3131,28.5451,-74.2941,50.317
3006,300269,联建光电,40.9818,-74.3674,-8.662,12.0001,-78.4977,-8.6349
3007,300325,德威新材,13.077,-74.3775,14.6778,38.3781,-75.0,-0.8436
3008,000913,钱江摩托,20.2711,-74.4064,6.6869,9.0457,-75.0,5.2252
3009,000533,万家乐,90.5499,-74.5501,5.7217,33.9684,-81.8182,0.1709
3010,000586,汇源通信,-14.2082,-75.0556,0.71,1.6565,-80.0,0.7302
3011,002848,高斯贝尔,14.0941,-75.08,5.285,15.2403,-80.5087,5.285
3012,000150,宜华健康,63.2274,-75.1842,-5.4302,5.8375,-76.5806,-5.8619
3013,300048,合康新能,-4.6891,-75.2071,-0.6658,-4.8995,-73.913,0.2599
3014,600719,大连热电,10.5496,-75.3052,-0.1503,-5.3035,-75.2976,-0.1503
3015,600644,乐山电力,8.0453,-75.3064,10.7378,17.5237,-79.7352,4.3601
3016,000958,东方能源,6.0187,-75.7703,6.4729,40.9097,-84.3137,0.4463
3017,000863,三湘印象,-63.1025,-76.0684,-4.074,-5.7142,-67.2414,0.5321
3018,603366,日出东方,18.3758,-76.156,0.1329,21.0636,-77.5262,-2.3646
3019,002054,德美化工,1.8075,-76.8797,-2.0924,2.2928,-80.0,-1.2652
3020,600281,太化股份,-44.86600000000001,-77.7501,1.2982,-19.2598,-76.875,1.4113
3021,002329,皇氏集团,-3.2569,-78.2707,1.4237,7.9291,-80.4843,0.5018
3022,300562,乐心医疗,12.4501,-78.3112,1.6047,14.0162,-94.9153,1.169
3023,600975,新五丰,1.9124,-78.4311,-2.1452,-7.1572,-76.6667,-1.6634
3024,002579,中京电子,35.5539,-78.6052,0.9919,6.0465,-80.6452,0.9919
3025,600714,金瑞矿业,-31.7125,-78.8004,2.1177,-8.4335,-80.0,2.1177
3026,600159,大龙地产,-43.65,-79.2166,1.6954,18.8502,-75.0,-0.544
3027,300002,神州泰岳,-30.9912,-79.308,2.0926,-1.5145,-76.2183,2.242
3028,300282,汇冠股份,-23.4192,-79.3776,21.5416,-19.9443,-83.9286,25.2323
3029,002199,东晶电子,-9.7372,-79.8584,0.3247,-11.6795,-85.7143,0.3247
3030,002210,飞马国际,17.6782,-79.9758,5.5496,9.1619,-87.9747,4.8166
3031,600011,华能国际,33.9546,-80.09899999999999,-4.7148,22.3892,-81.0345,-7.3455
3032,000590,启迪古汉,8.2318,-80.2309,120.9957,38.5389,-66.6532,123.5245
3033,600689,上海三毛,10.9657,-80.3878,7.4009,-5.114,-78.2609,8.2779
3034,000005,世纪星源,10.1811,-80.3903,3.6178,15.2287,-85.8674,3.1181
3035,603958,哈森股份,-11.0305,-80.4046,-3.4955,-3.423,-80.2364,-3.2763
3036,600418,江淮汽车,-6.3714,-80.4599,-1.4172,-9.5588,-68.0556,0.5502
3037,300092,科新机电,-10.880999999999998,-80.9508,6.106,-0.1208,-81.3124,6.106
3038,601099,太平洋,,-81.1049,-4.0834,16.5436,-83.0,-0.7367
3039,600791,京能置业,-2.5038,-81.2346,40.8437,23.5329,10.0,4.926
3040,002708,光洋股份,31.3126,-81.2677,-0.47600000000000003,-1.8531,-81.9014,-0.47600000000000003
3041,300079,数码科技,-8.4544,-81.4438,-1.0485,4.4716,-84.0936,0.4831
3042,000810,创维数字,22.4008,-81.9292,1.5006,15.1242,-81.25,1.2893
3043,000020,深华发A,38.5796,-82.1462,0.3048,-0.4289,-82.3834,0.3048
3044,300202,聚龙股份,-26.5517,-82.2352,-2.9483,0.1446,-80.7018,-3.6593
3045,300283,温州宏丰,28.9976,-82.3309,-0.1824,18.5046,-66.6667,0.3461
3046,300471,厚普股份,-43.2043,-82.3954,0.4872,18.8943,-92.3818,0.3537
3047,601069,西部黄金,25.0848,-82.7657,-1.3751,-7.9419,-82.7638,-1.3751
3048,000619,海螺型材,-3.0415,-83.0349,-1.3004,-9.208,-88.1043,-1.0924
3049,600027,华电国际,24.7226,-83.2265,-1.7951,2.9349,-87.0206,-2.019
