,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
84,002320,海峡股份,5.7722,5.71,550.0687,-3590.7790000000005,91.708,8.292
85,300508,维宏股份,10.9898,10.2168,116.3265,-128361.195,91.5753,8.4247
86,300535,达威股份,8.4684,7.2327,181.8176,3695.1572,91.3898,8.6102
87,603685,晨丰科技,10.0809,8.3657,288.7923,3539.222,91.3694,8.6306
88,300417,南华仪器,7.6047,6.0407,95.2816,-9710.1398,91.3561,8.6439
89,300305,裕兴股份,10.2322,9.8905,417.3388,-426.2112,91.3108,8.6892
90,300553,集智股份,8.3738,6.9682,525.0716,-1742.625,91.2918,8.7082
91,603067,振华股份,6.5677,5.311,78.428,2763.1515,91.2807,8.7193
92,002181,粤传媒,6.9123,6.5884,77.3871,-5931.7339,91.2776,8.7224
93,300530,达志科技,17.8215,16.9027,198.2304,-34325.5636,91.2648,8.7352
94,600890,中房股份,8.408999999999999,8.3846,815.3786,-476.2649,91.2438,8.7562
95,300696,爱乐达,22.459,20.3739,967.245,105743.6522,91.1995,8.8005
96,300282,汇冠股份,4.2114,4.0435,276.1458,486.2647,91.1854,8.8146
97,300394,天孚通信,8.6883,7.721,534.1536,15710.6261,91.1161,8.8839
98,603023,威帝股份,9.1802,7.9431,134.5465,-6390.6411,91.1083,8.8917
99,300516,久之洋,9.1211,6.1822,242.4635,-966.9643,91.0927,8.9073
100,300669,沪宁股份,8.916,8.4716,199.6945,-4420.0373,91.074,8.926
101,300519,新光药业,10.7608,10.0135,650.2324,-5495.8688,91.0666,8.9334
102,300250,初灵信息,5.1418,4.5687,257.732,-1317.4676,91.0636,8.9364
103,300534,陇神戎发,4.9693,4.508,111.2161,-2707.8264,91.0465,8.9535
104,002033,丽江旅游,5.704,5.6339999999999995,548.119,6302.6373,91.0285,8.9715
105,300653,正海生物,14.7748,14.4832,319.3877,-3282.0511,91.0264,8.9736
106,600615,丰华股份,13.9709,13.669,286.0343,-88659.5817,91.0006,8.9994
107,600345,长江通信,2.594,2.4645,175.2252,24798.5394,90.9854,9.0146
108,300639,凯普生物,8.2498,7.8652,219.7884,-6750.1725,90.7687,9.2313
109,002625,光启技术,14.1657,14.0338,1216.2532,-1.506,90.71600000000001,9.283999999999999
110,603025,大豪科技,8.4938,7.4904,125.0644,-37267.7954,90.70299999999999,9.297
111,300107,建新股份,6.4028,5.4897,286.4027,3837.0576,90.6808,9.3192
112,002333,罗普斯金,3.9009,2.6678,74.3994,3828.562,90.6804,9.3196
113,603387,基蛋生物,9.4054,8.8479,269.4261,-14977.0454,90.6148,9.3852
114,600206,有研新材,14.8647,11.9938,411.3907,767.0748,90.5732,9.4268
115,603879,永悦科技,8.9085,8.203,193.2377,10147.1604,90.5299,9.4701
116,603500,祥和实业,8.9252,8.4079,128.3972,5114.9283,90.5271,9.4729
117,300521,爱司凯,9.6519,8.458,173.8047,1246.871,90.4902,9.5098
118,603630,拉芳家化,9.0694,7.5186,466.4742,-1214.7821,90.3173,9.6827
119,603058,永吉股份,6.7542,6.0416,285.5093,-3575.0926,90.2907,9.7093
120,603488,展鹏科技,8.4583,8.0463,583.1635,-11749.9692,90.2673,9.7327
121,002312,三泰控股,9.1412,9.1412,343.8043,1132.618,90.245,9.755
122,300364,中文在线,4.206,4.1593,316.774,-307.4574,90.197,9.802999999999999
123,002790,瑞尔特,7.6265,6.7126,266.0113,1281.8686,90.1803,9.8197
124,002817,黄山胶囊,9.558,8.3391,492.7705,-16644.9166,90.1684,9.8316
125,002603,以岭药业,6.8279,5.0568,132.1729,-27204.7013,90.1668,9.8332
126,300731,科创新源,10.7846,10.1092,575.1651,8097.1887,90.1535,9.8465
127,600576,祥源文化,7.4714,7.4703,463.2907,-29040.5316,90.0807,9.9193
128,000609,中迪投资,8.6123,6.8799,346.3786,5775.5494,89.9853,10.0147
129,000019,深深宝A,5.6689,4.0012,274.8581,3720.315,89.9819,10.0181
130,002148,北纬科技,5.5425,5.5174,187.4357,-13819.0042,89.9417,10.0583
131,300548,博创科技,8.288,6.8838,244.6805,3480.9772,89.9336,10.0664
