code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002632,道明光学,化工原料,浙江,38.94,5.54,6.26,219934.34,97734.15,61692.18,80832.97,1.29,0.07200000000000001,2.99,3.77,20111122,40654.4,0.65,74.47,130.18,40.56,18.71,30958.0
603228,景旺电子,元器件,深圳,33.28,0.81,4.08,495915.59,316106.22,117136.95,104656.93,2.57,0.38299999999999995,8.41,6.06,20170106,186851.92,4.58,8.93,3.38,33.6,15.86,8583.0
300136,信维通信,通信设备,深圳,44.76,7.45,9.83,550644.0,307382.03,50157.59,35814.15,0.36,0.214,3.02,12.66,20101105,174831.31,1.78,20.03,2.82,37.32,24.36,40375.0
603897,长城科技,电气设备,浙江,49.98,0.45,1.78,138760.56,124250.8,11201.86,26699.49,1.5,0.31,6.27,7.47,20180410,39464.46,2.21,0.0,0.0,7.19,3.75,42986.0
300394,天孚通信,通信设备,江苏,34.9,1.64,1.86,93299.56,57599.71,25105.42,22174.1,1.19,0.14800000000000002,4.5,4.58,20150217,37530.17,2.02,13.59,-13.62,50.28,27.69,15249.0
300706,阿石创,元器件,福建,122.73,0.2,0.78,57038.38,37240.4,14090.62,23252.49,2.97,0.171,5.37,15.64,20170926,10060.5,1.28,0.0,0.0,28.8,25.07,15817.0
002320,海峡股份,水运,海南,32.03,4.3,5.08,411271.09,146937.52,244065.7,201856.23,3.97,0.215,7.28,3.78,20091216,90599.71,1.78,16.42,16.68,54.3,31.79,50000.0
600540,新赛股份,种植业,新疆,220.15,4.71,4.71,217189.2,117104.05,70830.5,80475.07,1.71,0.006,1.33,3.71,20040107,-68898.5,-1.46,72.1,-26.81,7.24,0.76,25926.0
300716,国立科技,塑料,广东,40.17,0.27,1.07,114771.52,68583.5,31776.44,50902.34,4.77,0.195,7.59,4.13,20171109,17799.99,1.67,0.0,0.0,22.98,8.61,19260.0
300177,中海达,通信设备,广东,67.08,3.17,4.47,247853.42,153580.77,17483.86,87793.49,1.96,0.048,3.85,3.33,20110215,40117.18,0.9,40.57,336.11,49.02,8.86,46253.0
300369,绿盟科技,软件服务,北京,0.0,5.98,8.03,364524.59,273117.25,11103.1,140499.66,1.75,-0.035,3.54,3.58,20140129,79444.81,0.99,24.44,47.27,75.96,-17.26,28176.0
300511,雪榕生物,种植业,上海,12.44,2.32,4.34,378445.75,53936.06,241003.09,60614.2,1.4,0.258,3.46,3.71,20160504,64971.23,1.5,106.35,132.28,27.9,20.7,17349.0
002768,国恩股份,塑料,山东,35.64,0.87,2.71,281417.91,196758.81,62954.92,92642.06,3.42,0.22,6.62,4.39,20150630,54059.98,1.99,75.37,63.38,19.23,9.48,13584.0
002871,伟隆股份,机械基件,山东,63.79,0.17,0.68,67208.31,46132.62,11882.32,27175.6,4.0,0.19399999999999998,8.31,5.96,20170511,19498.25,2.87,3.13,20.36,35.36,22.43,13238.0
300433,蓝思科技,元器件,湖南,135.73,4.44,26.29,3482400.5,1224221.63,1722871.25,317110.25,1.21,0.042,6.43,3.53,20150318,926382.13,3.52,9.39,-50.15,27.5,2.45,45257.0
002206,海 利 得,化纤,浙江,22.19,9.5,12.23,458642.59,202267.77,163702.13,88334.88,0.72,0.067,2.41,2.47,20080123,64050.53,0.52,26.44,3.67,21.27,9.62,27000.0
603329,上海雅仕,仓储物流,上海,75.3,0.33,1.32,101119.72,87810.56,7817.37,35471.85,2.69,0.11699999999999999,5.62,6.25,20171229,23944.92,1.81,0.0,0.0,11.61,3.99,21367.0
