,code,name,mbrg,nprg,nav,targ,epsg,seg,year,quanter
1352,300222,科大智能,58.7217,21.4094,12.895999999999999,18.5917,7.4074,12.4781,2017,3
1353,002890,弘宇股份,11.0586,21.3667,,,12.5,,2017,3
1354,002371,北方华创,49.248999999999995,21.3266,3.4434,16.0815,14.435,3.7589,2017,3
1355,002598,山东章鼓,39.7772,21.2859,0.2816,7.535,21.3864,0.3352,2017,3
1356,002622,融钰集团,41.7655,21.2014,3.0234,28.561999999999998,33.3333,1.6147,2017,3
1357,300599,雄塑科技,28.9788,21.0748,88.6461,46.2099,-6.25,88.6461,2017,3
1358,600076,康欣新材,30.6621,21.0313,16.9454,27.2434,21.4286,15.7314,2017,3
1359,300476,胜宏科技,29.2783,20.9643,89.7988,47.7543,18.6047,89.7988,2017,3
1360,000030,富奥股份,22.8296,20.8547,9.2454,12.1753,25.0,10.9648,2017,3
1361,002374,丽鹏股份,10.8304,20.7854,39.4311,33.9302,8.3333,39.927,2017,3
1362,002907,华森制药,12.7983,20.7412,,,23.8095,,2017,3
1363,600018,上港集团,10.5322,20.6684,3.9308,1.61,20.3162,4.1586,2017,3
1364,002643,万润股份,35.6686,20.5885,6.0002,-3.4298,-54.7945,6.0131,2017,3
1365,600706,曲江文旅,10.7123,20.5589,7.2536,-0.5868,18.9189,7.4492,2017,3
1366,300439,美康生物,77.0454,20.5558,20.8397,39.3694,9.5238,14.8064,2017,3
1367,002626,金达威,14.4343,20.5009,9.9373,-8.4023,14.7059,10.1766,2017,3
1368,300174,元力股份,27.9821,20.4876,3.4077,3.9449,-17.3333,4.9503,2017,3
1369,000981,银亿股份,-6.9865,20.4775,67.0935,15.352,-14.2857,57.1996,2017,3
1370,603883,老百姓,21.7998,20.447,-4.4919,16.5404,32.0513,-6.0155,2017,3
1371,600822,上海物贸,-68.5653,20.4272,3.5048,-13.2755,39.1045,4.5986,2017,3
1372,002690,美亚光电,20.6714,20.4181,7.7679,10.0378,20.1242,7.8529,2017,3
1373,603081,大丰实业,6.1604,20.3705,,,10.5263,,2017,3
1374,603655,朗博科技,20.1233,20.3616,,,19.2308,,2017,3
1375,300723,一品红,16.7147,20.352999999999998,,,21.0526,,2017,3
1376,603908,牧高笛,19.6126,20.3043,,,-1.1628,,2017,3
1377,600499,科达洁能,14.9442,20.2959,4.898,30.8553,12.549000000000001,1.6778,2017,3
1378,300354,东华测试,2.3235,20.2774,1.6734,3.0827,20.4819,1.6734,2017,3
1379,300655,晶瑞股份,23.4778,20.2467,,,-22.8065,,2017,3
1380,300262,巴安水务,11.3268,20.219,7.9665,18.6613,-16.7486,8.8958,2017,3
1381,600271,航天信息,25.3799,20.1759,13.5972,10.8444,19.6078,14.6855,2017,3
1382,002556,辉隆股份,56.0719,20.1575,4.0296,26.6458,21.4286,3.1446,2017,3
1383,603369,今世缘,16.1407,20.1147,14.118,14.5638,20.0078,14.1693,2017,3
1384,002421,达实智能,9.0606,20.0412,10.2053,15.4683,-59.7407,10.4828,2017,3
1385,300502,新易盛,29.8833,20.0324,9.7052,16.4193,-62.8319,9.7052,2017,3
1386,600885,宏发股份,21.6215,20.023,18.129,19.996,22.2222,17.4896,2017,3
1387,002274,华昌化工,35.0013,20.0011,-6.6623,-5.2176,12.7413,-7.1129,2017,3
1388,603738,泰晶科技,35.0922,19.9701,10.1638,22.9652,-49.3671,8.2228,2017,3
1389,002604,*ST龙力,76.6596,19.9566,3.6357,19.5485,18.75,3.6614,2017,3
1390,300420,五洋停车,13.8049,19.9241,7.4525,2.9775,-38.7688,7.6614,2017,3
1391,000400,许继电气,9.541,19.9232,11.331,9.4297,23.1657,12.8024,2017,3
1392,600012,皖通高速,14.3878,19.8127,6.4087,6.9765,17.8698,8.0695,2017,3
1393,002003,伟星股份,17.8096,19.8054,9.1892,10.8236,-14.2857,8.2791,2017,3
1394,300605,恒锋信息,20.1579,19.7785,97.5977,69.2229,-7.3829,97.1023,2017,3
1395,600482,中国动力,20.6206,19.7532,5.9324,5.2997,-14.5455,2.7,2017,3
1396,002266,浙富控股,8.252,19.7066,19.0842,27.2345,56.0,2.4186,2017,3
1397,002176,江特电机,-7.4955,19.6334,-14.4502,-7.3311,16.6667,-16.4586,2017,3
1398,002196,方正电机,22.3009,19.5769,6.2323,10.3763,-30.6786,6.9258,2017,3
1399,002140,东华科技,37.6848,19.5672,4.2746,8.6095,19.4354,3.7430000000000003,2017,3
1400,002281,光迅科技,11.4113,19.5544,10.1999,4.6162,-60.396,8.065,2017,3
1401,002345,潮宏基,10.722999999999999,19.5391,27.5592,16.5151,17.3913,27.5273,2017,3
1402,002783,凯龙股份,48.0756,19.5376,13.7248,34.9549,-54.4554,4.5325,2017,3
1403,300652,雷迪克,33.6922,19.4972,,,4.3478,,2017,3
1404,002698,博实股份,22.6544,19.4809,5.6846,15.0732,30.0,5.5964,2017,3
1405,002090,金智科技,59.1148,19.4544,-4.4978,19.2521,41.7694,-1.4313,2017,3
1406,300239,东宝生物,6.037000000000001,19.4267,1.4367,13.8036,19.4346,1.4367,2017,3
1407,603987,康德莱,14.2589,19.3644,74.2034,12.9104,-39.5833,80.2767,2017,3
1408,603496,恒为科技,25.6574,19.3478,,,7.4122,,2017,3
1409,002881,美格智能,34.6761,19.2953,,,7.3836,,2017,3
1410,300144,宋城演艺,17.6016,19.2221,15.2329,11.4033,19.8174,14.818,2017,3
1411,002862,实丰文化,13.5137,19.2217,,,0.5979,,2017,3
1412,300711,广哈通信,6.8119,19.1574,,,22.2222,,2017,3
1413,000667,美好置业,-18.73,19.1514,10.6964,-9.1809,19.6223,10.7795,2017,3
1414,300286,安科瑞,23.4203,19.1338,12.5504,15.6054,17.0213,12.5576,2017,3
1415,601158,重庆水务,-10.8307,19.1058,0.068,-2.5953,19.2308,0.1027,2017,3
1416,300329,海伦钢琴,19.4899,19.0752,3.9962,7.6249,17.8947,3.9975,2017,3
1417,603100,川仪股份,2.9437,19.0491,5.3565,5.0384,16.6667,5.4817,2017,3
1418,601997,贵阳银行,,18.9304,14.3971,32.2658,-4.7945,14.7023,2017,3
1419,601390,中国中铁,6.4563,18.8281,11.7966,6.8116,15.8974,9.3436,2017,3
1420,603966,法兰泰克,14.4557,18.8011,,,-6.6667,,2017,3
1421,600317,营口港,10.6714,18.7917,1.1426,-2.4813,15.0183,3.8541,2017,3
1422,002909,集泰股份,63.9302,18.7506,,,17.1429,,2017,3
1423,603839,安正时尚,20.2064,18.7188,105.1376,68.9363,-6.1728,105.1376,2017,3
1424,603380,易德龙,27.1297,18.6994,,,6.25,,2017,3
1425,000903,云内动力,52.4362,18.6853,21.6193,16.8968,-45.7895,21.7405,2017,3
1426,600229,城市传媒,12.279000000000002,18.6631,11.1668,14.9583,20.2878,10.9506,2017,3
1427,601567,三星医疗,9.9187,18.6305,7.7392,8.204,7.1429,7.7683,2017,3
1428,600377,宁沪高速,11.5544,18.6117,13.3091,12.3548,18.7074,6.1437,2017,3
1429,601111,中国国航,8.8336,18.5901,26.3761,4.3251,5.0847,27.5903,2017,3
1430,002130,沃尔核材,37.6189,18.535999999999998,60.6569,38.6757,-43.75,60.6929,2017,3
1431,600467,好当家,10.1343,18.4612,1.2361,6.8964,12.5926,1.1381,2017,3
1432,603557,起步股份,7.1649,18.4606,,,17.8571,,2017,3
1433,300580,贝斯特,23.2216,18.4463,82.975,37.6366,-8.6335,82.975,2017,3
1434,600337,美克家居,20.2991,18.4424,56.5633,35.4875,-50.0,56.5633,2017,3
1435,000571,新大洲A,66.6303,18.383,-0.9443,-2.3464,1.6373,0.086,2017,3
1436,300333,兆日科技,19.1318,18.351,1.1376,1.2191,17.7743,0.9173,2017,3
1437,600997,开滦股份,84.9909,18.3407,28.1202,12.5009,23.5294,33.919000000000004,2017,3
1438,300114,中航电测,20.5616,18.2881,7.5346,10.919,-19.1006,7.6745,2017,3
