,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
2704,600099,林海股份,-0.1523,-0.0524,-23.4217,-0.2428,-24.2826
2705,600068,葛洲坝,-0.1531,-0.0441,-3.4443,-0.0566,-9.3981
2706,600590,泰豪科技,-0.1538,-0.0251,-4.199,-0.0525,-6.3432
2707,002747,埃斯顿,-0.1544,-0.0412,-1.6909,-0.0864,-10.3517
2708,000917,电广传媒,-0.1548,-0.0255,-3.1866,-0.0566,-13.0345
2709,002305,南国置业,-0.1551,-0.0108,-8.8304,-0.0144,-3.1476
2710,002509,天广中茂,-0.1558,-0.0291,-1.0329,-0.1218,-12.4094
2711,002302,西部建设,-0.1563,-0.0596,-10.4606,-0.09,-9.7882
2712,600802,福建水泥,-0.1569,-0.0167,,-0.0234,-2.5645
2713,300608,思特奇,-0.1577,-0.0601,,-0.1138,-11.6502
2714,603117,万林股份,-0.1578,-0.0084,-0.6793,-0.0132,-1.3301
2715,000893,*ST东凌,-0.1582,-0.0344,-9.8597,-0.2572,-25.9525
2716,300090,盛运环保,-0.1583,-0.0097,-1.271,-0.0193,-4.1549
2717,002058,威尔泰,-0.1594,-0.0286,,-0.2194,-24.9107
2718,300283,温州宏丰,-0.1595,-0.0558,-3.1261,-0.1533,-16.7201
2719,600545,卓郎智能,-0.1596,-0.0169,,-0.0215,-2.7995
2720,000955,欣龙控股,-0.1598,-0.0314,,-0.0752,-13.1536
2721,002235,安妮股份,-0.1601,-0.0392,-2.8702,-0.1065,-11.5614
2722,002046,轴研科技,-0.1602,-0.0146,,-0.0348,-4.4384
2723,002656,摩登大道,-0.1607,-0.0206,,-0.0377,-5.7108
2724,600288,大恒科技,-0.161,-0.0614,,-0.1568,-15.9983
2725,601020,华钰矿业,-0.1614,-0.0167,-0.8341,-0.0471,-5.7883
2726,002548,金新农,-0.1615,-0.069,-2.0319,-0.1794,-21.6253
2727,002104,恒宝股份,-0.1616,-0.0519,-1.0952,-0.2981,-31.4566
2728,600880,博瑞传播,-0.1619,-0.0169,-20.7592,-0.1237,-13.6476
2729,601005,重庆钢铁,-0.1638,-0.012,,-0.0128,-1.9107
2730,000610,西安旅游,-0.1646,-0.0458,-20.0895,-0.1289,-13.4079
2731,000758,中色股份,-0.1648,-0.0595,-11.3135,-0.0847,-9.6167
2732,002570,*ST因美,-0.166,-0.0424,,-0.1184,-12.1073
2733,600559,老白干酒,-0.1663,-0.0709,-7.0263,-0.1865,-18.9763
2734,600871,*ST油服,-0.1664,-0.0401,,-0.0543,-5.5132
2735,600850,华东电脑,-0.1665,-0.0905,-3.2909,-0.1478,-14.7763
2736,603421,鼎信通讯,-0.1666,-0.0632,-1.0939,-0.4425,-44.2549
2737,002778,高科石化,-0.1671,-0.0621,-2.5981,-0.33899999999999997,-34.7449
2738,000931,中关村,-0.1674,-0.036000000000000004,,-0.0539,-6.739
2739,600095,哈高科,-0.1675,-0.0169,,-0.051,-7.5378
2740,300180,华峰超纤,-0.1677,-0.0314,-2.3869,-0.1376,-19.5762
2741,603000,人民网,-0.1685,-0.0272,-0.8694,-0.1803,-18.5678
2742,002313,日海通讯,-0.1686,-0.0453,,-0.099,-9.9926
2743,002767,先锋电子,-0.1687,-0.0323,-1.216,-0.2354,-23.5374
2744,600213,亚星客车,-0.1687,-0.054000000000000006,-11.1456,-0.0568,-6.9944
2745,600719,大连热电,-0.1696,-0.0533,-2.478,-0.1306,-13.6512
2746,002692,睿康股份,-0.1711,-0.0676,-3.0996,-0.1233,-12.3522
2747,603690,至纯科技,-0.1739,-0.036000000000000004,-0.7898,-0.0747,-11.4378
2748,601908,京运通,-0.1744,-0.018000000000000002,-0.74,-0.0481,-8.9963
2749,002087,新野纺织,-0.175,-0.0392,-4.7005,-0.0598,-10.7404
2750,600501,航天晨光,-0.175,-0.0442,-130.41899999999998,-0.0918,-10.5345
2751,300665,飞鹿股份,-0.1751,,-1.9558,,
2752,603045,福达合金,-0.1751,-0.1024,-3.7441,-0.2442,-24.7063
2753,600167,联美控股,-0.1756,-0.033,-0.5376,-0.0553,-15.450999999999999
2754,000918,嘉凯城,-0.1757,-0.011000000000000001,,-0.0118,-1.4509
2755,600355,精伦电子,-0.1764,-0.0605,-18.1503,-0.1978,-20.2329
