,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
346,601198,东兴证券,0.48,-9.87,,6.98,,130924.96,-3.23,10派1.5,04-27
347,300012,华测检测,0.08,-38.46,,5.48,,13389.83,31.87,10派0.25,04-27
348,300664,鹏鹞环保,0.55,-16.59,,10.38,,21932.21,-16.56,10派0.5,04-27
349,002642,荣之联,-0.32,-183.59,,-5.35,,-20208.23,-184.16,,04-27
350,600749,*ST藏旅,-0.42,-16.76,,-15.83,,-7917.34,-16.77,,04-27
351,600517,置信电气,0.18,-48.57,,6.79,,23943.2,-49.36,10派1,04-27
352,002776,柏堡龙,0.54,-1.82,,6.08,,12930.73,9.24,10派1转5,04-27
353,600926,杭州银行,1.24,-26.19,11.42,11.34,17.49,455036.5,13.17,10派3转4,04-27
354,603233,大参林,1.26,5.88,,24.28,,47496.1,10.41,,04-27
355,600215,长春经开,0.02,0.0,,0.37,,903.19,17.04,10派0.06,04-27
356,601212,白银有色,0.04,-12.5,,2.13,,23933.01,-4.85,10派0.11,04-27
357,600307,酒钢宏兴,0.07,409.09,,4.5,,42116.09,410.98,,04-27
358,002005,德豪润达,-0.67,-3035.68,,-18.69,,-97139.73,-3162.42,,04-27
359,300071,华谊嘉信,-0.41,-315.79,,-26.82,,-27711.75,-311.16,,04-27
360,002686,亿利达,0.32,9.62,,10.02,,14052.86,17.25,10派0.7,04-27
361,300094,国联水产,0.18,50.0,,7.66,,14413.26,53.42,10派0.2,04-27
362,002397,梦洁股份,0.07,-50.0,,3.57,,5126.37,-47.3,10派0.6,04-27
363,000707,*ST双环,-1.61,18.81,,-144.45,,-74625.84,18.82,,04-27
364,002209,达意隆,0.1,-144.51,,3.24,,2017.82,-144.53,10派0.12,04-27
365,002881,美格智能,0.6,3.45,,15.61,,5628.52,20.49,,04-27
366,300002,神州泰岳,0.06,-76.22,,2.35,,11955.01,-76.44,10派0.07,04-27
367,601929,吉视传媒,0.12,2.55,,5.86,,37541.59,2.57,10派0.25,04-27
368,603711,香飘飘,0.74,0.0,,19.58,,26776.61,0.63,,04-27
369,300083,劲胜智能,0.32,255.56,,8.62,,46079.89,250.57,,04-27
370,002081,金螳螂,0.73,14.06,,17.88,,191849.56,13.97,10派1.5,04-27
371,600863,内蒙华电,0.09,50.0,,5.14,,51413.91,54.53,10派0.3,04-27
372,002150,通润装备,0.26,-33.33,,6.62,,7076.7,-28.76,10派1.5,04-27
373,600562,国睿科技,0.35,-28.57,,9.74,,16935.99,-25.84,10派1.07转3,04-27
374,603308,应流股份,0.14,7.69,,2.16,,6017.27,10.04,10派0.42,04-27
375,601169,北京银行,0.99,-14.66,7.43,13.77,0.59,1873300.0,5.23,10派2.67,04-27
376,002263,*ST东南,-0.3,200.0,,-23.13,,-56759.31,205.8,,04-27
377,600295,鄂尔多斯,0.5,92.31,,6.91,,52096.64,96.12,10派1,04-27
378,600313,农发种业,-0.26,-738.01,,-18.38,,-28520.86,-737.42,,04-27
379,600331,宏达股份,0.1,60.6,,4.27,,20618.96,60.53,,04-27
380,002343,慈文传媒,1.29,40.22,,24.01,,40842.16,40.78,10派1.8转4,04-27
381,002054,德美化工,0.07,-80.0,,1.67,,2996.1,-79.8,10派0.47,04-27
382,002375,亚厦股份,0.27,12.5,,4.88,,35768.69,12.02,10派0.4,04-27
383,600809,山西汾酒,1.09,56.02,,19.04,,94410.17,56.02,10派6,04-27
384,300104,乐视网,-3.48,-1300.52,,-211.4,,-1387804.48,-2601.63,,04-27
385,002107,沃华医药,0.16,14.29,,11.02,,5703.19,16.85,,04-27
386,002123,梦网集团,0.28,-6.67,,4.67,,24045.53,-6.12,,04-27
387,603183,建研院,0.92,10.84,,15.68,,6597.54,20.01,,04-27
388,002203,海亮股份,0.42,27.87,,13.57,,70533.2,27.95,10派0.6,04-27
389,600227,赤天化,0.02,-109.21,,0.82,,3825.8,-110.95,,04-27
390,000892,欢瑞世纪,0.43,-30.65,,14.51,,42207.16,59.23,,04-27
391,601198,东兴证券,0.48,-9.87,,6.98,,130924.96,-3.23,10派1.5,04-27
392,300012,华测检测,0.08,-38.46,,5.48,,13389.83,31.87,10派0.25,04-27
393,300664,鹏鹞环保,0.55,-16.59,,10.38,,21932.21,-16.56,,04-27
394,601699,潞安环能,0.93,220.69,,15.26,,278224.01,224.6,10派2.87,04-27
395,002637,赞宇科技,0.38,-9.52,,7.57,,15942.61,5.03,10派2,04-27
396,000587,金洲慈航,0.48,-51.02,,11.41,,102156.64,-1.52,,04-27
397,600020,中原高速,0.4,92.15,,9.69,,117290.81,56.78,10派1.68,04-27
398,002348,高乐股份,0.06,29.62,,4.38,,5508.91,29.48,,04-27
399,600395,盘江股份,0.53,349.15,,14.01,,87724.95,347.52,10派3.5,04-27
400,002701,奥瑞金,0.3,-38.78,,13.04,,70385.81,-38.98,10派1.76,04-27
401,002412,汉森制药,0.37,28.08,,8.78,,10880.68,28.1,,04-27
402,600517,置信电气,0.18,-48.57,,6.79,,23943.2,-49.36,10派1,04-27
403,002776,柏堡龙,0.54,-1.82,,6.08,,12930.73,9.24,,04-27
404,600926,杭州银行,1.24,-26.19,11.42,11.34,17.49,455036.5,13.17,10派3转4,04-27
