,code,name,mbrg,nprg,nav,targ,epsg,seg
688,002425,凯撒文化,10.8345,52.827,5.992000000000001,8.6345,-7.8947,7.1054
689,300490,华自科技,81.6812,52.8117,106.2968,159.6776,33.3333,107.9916
690,600783,鲁信创投,5.4223,52.6091,-3.8706,3.3032,100.0,-4.0952
691,300065,海兰信,13.2166,52.4242,18.5446,25.0017,-3.91,-3.4033
692,000838,财信发展,264.7204,51.9747,12.6897,68.9426,113.7931,9.6828
693,002114,罗平锌电,28.5793,51.8658,3.2645,0.1027,0.0,3.2797
694,603269,海鸥股份,9.1352,51.8648,49.1822,23.0439,25.0,49.5255
695,002360,同德化工,13.6658,51.8373,-2.0339,10.134,66.6667,3.377
696,600362,江西铜业,13.2653,51.6923,2.7623,4.9102,37.5,2.2955
697,300130,新国都,32.7321,51.6485,36.936,48.0885,50.0,37.4824
698,603356,华菱精工,40.8541,51.6174,,,6.25,
699,603866,桃李面包,20.5732,51.6049,53.3445,49.4564,43.75,53.3445
700,300685,艾德生物,43.5089,51.5062,,,14.8148,
701,002757,南兴装备,56.4946,51.5042,14.1256,17.5078,49.1483,14.1256
702,000790,泰合健康,31.1934,51.4714,26.1172,29.8548,51.8519,26.1172
703,000910,大亚圣象,11.0708,51.1247,21.8979,8.0494,35.0649,21.0138
704,603939,益丰药房,37.4102,50.9976,8.1509,20.4348,45.5497,7.7939
705,300529,健帆生物,39.5974,50.7812,19.2597,20.5953,57.1429,19.2321
706,600487,亨通光电,38.2411,50.622,60.1102,35.8649,58.3818,70.7386
707,002461,珠江啤酒,7.8029,50.4168,1.5939,6.8020000000000005,8.7838,1.5874
708,600705,中航资本,41.2856,50.3246,8.0362,51.6105,50.0,5.9981
709,002585,双星新材,24.5375,50.2602,1.3184,4.1211,-6.5,1.3184
710,600500,中化国际,7.1262,50.218999999999994,4.5297,7.0729,36.3636,-3.3945
711,300165,天瑞仪器,82.1726,50.1851,9.604,9.6948,34.9081,6.435
712,601678,滨化股份,11.9643,50.099,13.3641,44.21,46.6667,13.4178
713,603380,易德龙,13.0649,49.9481,,,8.3333,
714,002390,信邦制药,11.6597,49.8821,-0.1862,7.1324,33.3333,-0.5097
715,000031,中粮地产,27.0619,49.7916,9.3832,27.2866,75.0,19.4725
716,300319,麦捷科技,38.0335,49.7779,-12.9975,1.6081,-52.7143,-14.6219
717,002677,浙江美大,53.1533,49.7415,14.3548,14.8813,50.0,14.3548
718,600175,美都能源,17.8099,49.6706,-2.3983,-10.604000000000001,42.1053,-2.2757
719,603838,四通股份,-5.7613,49.5619,4.8521,-1.0958,60.0,4.3986
720,002796,世嘉科技,144.8875,49.5432,141.5357,198.2179,16.6667,139.6572
721,601699,潞安环能,14.2286,49.5049,14.8542,10.459000000000001,41.1765,16.6693
722,002391,长青股份,45.7722,49.446000000000005,4.7145,3.4881,54.0,4.7724
723,600841,上柴股份,37.9476,49.396,3.0371,16.5559,47.0588,3.0676
724,600828,茂业商业,6.6294,49.3209,31.9288,15.6619,46.8178,26.9
725,002438,江苏神通,61.5748,49.2968,3.4279,28.6678,-16.6667,3.4279
726,603508,思维列控,43.6999,49.174,4.5886,5.0129,38.4615,4.4896
727,603598,引力传媒,45.1271,49.1345,16.8337,117.2517,0.0,11.7172
728,600272,开开实业,-5.8733,49.1177,4.2091,0.263,50.0,4.2134
729,600539,*ST狮头,-28.5496,48.9759,-10.1499,-8.6916,140.0,-10.5718
730,002482,广田集团,24.9966,48.6932,9.3437,8.8702,25.0,9.4829
731,002404,嘉欣丝绸,33.6055,48.6487,30.526,36.7822,50.0,33.4192
732,002775,文科园林,43.4125,48.6106,22.1981,23.8674,49.0741,22.1981
733,603076,乐惠国际,47.901,48.4,,,9.0909,
734,601369,陕鼓动力,35.9034,48.3543,0.9653,11.1063,66.6667,0.6275
735,600436,片仔癀,42.0621,48.3361,19.0526,20.5213,42.1053,19.2815
736,000900,现代投资,-13.2348,48.2947,12.1476,6.0678,-4.3728,11.0139
737,603801,志邦股份,38.2795,48.2254,171.8463,71.7129,11.2094,171.8463
738,300215,电科院,13.9096,48.0555,4.5917,2.8764,48.913000000000004,4.5923
739,002353,杰瑞股份,24.1737,47.9647,1.1785,3.5516,50.0,0.7271
740,000968,蓝焰控股,-4.6429,47.92,17.8981,-5.0399,10.0,19.1325
741,600586,金晶科技,35.9111,47.8878,3.3952,-2.813,27.8638,5.1832
742,002071,长城影视,100.2303,47.8635,-10.8366,24.5665,52.1739,-20.7253
743,600433,冠豪高新,30.3592,47.7525,0.1511,0.4248,37.5,0.42700000000000005
744,300473,德尔股份,366.6775,47.7155,10.6802,101.76299999999999,51.3621,10.3842
745,603639,海利尔,44.5856,47.678000000000004,20.5769,23.9294,47.0588,20.5932
746,600143,金发科技,2.7526,47.6639,3.6242,-7.9194,45.9402,3.1859
747,300247,乐金健康,17.1497,47.6596,4.8577,6.0772,48.5714,4.8262
748,600675,中华企业,-31.8055,47.5757,6.5879,-7.5769,316.6667,11.8396
749,000898,鞍钢股份,11.0578,47.4466,12.0903,-1.7696,48.6486,12.2057
750,603568,伟明环保,52.5614,47.3688,17.5273,15.0303,44.4444,17.1973
751,000958,东方能源,11.7377,46.9827,-3.8433,68.5907,-25.0,-4.6745
752,300662,科锐国际,36.9685,46.9802,109.9168,84.4628,-11.1111,109.6763
753,600629,华建集团,40.81,46.8924,11.1957,22.4337,22.8358,10.6685
754,603896,寿仙谷,44.6098,46.7584,103.6704,63.6204,8.3333,103.6704
755,002840,华统股份,12.3899,46.7357,15.6537,21.0108,23.8095,10.1515
756,600965,福成股份,17.6529,46.6261,6.143,-4.8474,33.3333,6.2253
757,300331,苏大维格,35.8924,46.5952,5.2121,10.4968,40.0,5.5821
758,002392,北京利尔,50.17,46.5921,5.0621,-0.6341,44.1176,5.0481
759,300114,中航电测,21.4787,46.4165,9.308,7.9168,-8.4112,9.2304
760,002915,中欣氟材,48.2656,46.309,,,9.8093,
761,600817,ST宏盛,367.6023,46.2601,-0.0379,0.9944,73.3333,-1.3718
762,600248,延长化建,32.8865,46.2357,6.7792,-1.3493,46.3415,6.7792
763,600125,铁龙物流,41.8386,46.2029,5.7319,20.0748,44.1176,5.7402
764,002035,华帝股份,23.2254,46.1587,26.9466,16.627,-4.7619,26.9866
765,603668,天马科技,56.003,46.1173,11.5435,26.8747,0.0,11.6324
766,000826,启迪桑德,22.2607,45.9952,60.5474,46.3309,24.424,59.7518
767,300376,易事特,8.1846,45.9865,18.6205,10.7906,-60.0,19.2417
