,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
2253,002681,奋达科技,0.1,-41.74,,4.84,,12281.49,21.26,,08-22
2254,300440,运达科技,0.21,-51.61,5.36,3.96,-0.1,4749.32,16.14,,08-22
2255,300457,赢合科技,0.49,-0.65,4.81,10.44,0.34,5767.11,89.37,,08-22
2256,002167,东方锆业,-0.02,-71.43,,-1.24,,-1289.27,-69.93,,08-22
2257,002488,金固股份,-0.09,-212.5,,-2.9,,-4522.25,-209.93,,08-22
2258,002199,东晶电子,-0.26,11.51,,-15.31,,-6294.99,11.52,,08-22
2259,002296,辉煌科技,0.1,25.12,,2.65,,3881.83,25.14,,08-22
2260,002124,天邦股份,0.32,-413.96,,17.19,,20330.04,-1058.96,,08-22
2261,000002,万科A,0.48,10.39,8.83,5.2,2.34,535131.0,10.42,,08-22
2262,002531,天顺风能,0.14,-3.45,,9.01,,21314.22,78.34,,08-22
2263,002685,华东重机,0.02,29.83,,1.33,,1515.87,49.66,,08-22
2264,002123,梦网集团,0.17,240.0,,2.98,,14723.52,453.14,,08-22
2265,000738,航发控制,0.1,17.24,,2.35,,11298.8,17.33,,08-22
2266,600145,*ST新亿,0.01,-224.68,,2.34,,1434.28,-596.18,,08-22
2267,002573,清新环境,0.25,31.58,,8.88,,26881.33,29.54,,08-22
2268,603377,东方时尚,0.29,-42.0,,8.78,,11502.07,-37.52,,08-22
2269,002011,盾安环境,0.07,-22.22,,1.44,,5919.11,-17.45,,08-22
2270,600701,*ST工新,0.05,-189.66,,2.86,,2576.77,-189.83,,08-22
2271,002465,海格通信,0.09,-47.06,,2.96,,19484.08,15.34,,08-22
2272,002811,亚泰国际,0.32,33.33,4.68,7.05,-0.67,4306.36,32.46,,08-22
2273,002658,雪迪龙,0.08,-50.0,,2.87,,4536.59,-49.39,,08-22
2274,002358,森源电气,0.17,41.67,,5.89,,13163.51,40.2,,08-22
2275,300034,钢研高纳,0.11,-15.82,2.96,3.77,0.15,4647.25,10.04,,08-22
2276,601128,常熟银行,0.26,4.0,4.28,6.34,1.67,52787.99,7.27,,08-22
2277,300067,安诺其,0.11,-24.81,1.86,5.86,0.11,5572.81,-27.65,,08-22
2278,002037,久联发展,0.01,-96.43,,0.22,,439.32,-95.2,,08-22
2279,002873,新天药业,0.48,-4.81,4.67,10.47,,2483.24,-4.82,,08-22
2280,002296,辉煌科技,0.1,25.12,,2.65,,3881.83,25.14,,08-22
2281,002681,奋达科技,0.1,-41.74,,4.84,,12281.49,21.26,,08-22
2282,002124,天邦股份,0.32,-413.96,,17.19,,20330.04,-1058.96,,08-22
2283,000002,万科A,0.48,10.39,8.83,5.2,2.34,535131.0,10.42,,08-22
2284,002531,天顺风能,0.14,-3.45,,9.01,,21314.22,78.34,,08-22
2285,002685,华东重机,0.02,29.83,,1.33,,1515.87,49.66,,08-22
2286,002123,梦网集团,0.17,240.0,,2.98,,14723.52,453.14,,08-22
2287,000738,航发控制,0.1,17.24,,2.35,,11298.8,17.33,,08-22
2288,600145,*ST新亿,0.01,-224.68,,2.34,,1434.28,-596.18,,08-22
2289,002573,清新环境,0.25,31.58,,8.88,,26881.33,29.54,,08-22
2290,603377,东方时尚,0.29,-42.0,,8.78,,11502.07,-37.52,,08-22
2291,002011,盾安环境,0.07,-22.22,,1.44,,5919.11,-17.45,,08-22
2292,600701,*ST工新,0.05,-189.66,,2.86,,2576.77,-189.83,,08-22
2293,600756,浪潮软件,0.07,-4.05,,1.35,,2194.33,6.39,,08-20
2294,300482,万孚生物,0.68,-23.6,4.44,10.84,0.29,8034.99,37.34,,08-20
2295,000753,漳州发展,0.01,-109.09,,0.34,,454.25,-114.27,,08-20
2296,600826,兰生股份,1.68,66.34,,20.31,,70617.65,65.43,,08-20
2297,600525,长园集团,0.25,45.17,,4.91,,27001.51,79.49,,08-20
2298,300255,常山药业,0.08,-38.46,1.84,4.47,0.13,6877.64,15.01,,08-20
2299,002546,新联电子,0.07,-72.11,,2.69,,5135.35,-18.83,,08-20
2300,600980,北矿科技,0.08,3452.17,,2.55,,1243.9,4009.09,,08-20
2301,300303,聚飞光电,0.09,-18.18,2.51,3.44,0.08,5941.44,-12.56,,08-20
2302,300013,新宁物流,0.02,100.0,3.94,0.4,-0.17,469.06,260.45,,08-20
2303,000615,京汉股份,-0.1,-120.0,,-4.27,,-7692.57,-173.09,,08-20
2304,600723,首商股份,0.23,-11.46,,4.43,,14903.91,-11.46,,08-20
2305,601688,华泰证券,0.4,-65.35,,3.62,,284125.33,-57.43,,08-20
2306,002053,云南能投,0.33,178.24,,4.71,,9244.29,317.42,10转10,08-20
2307,002374,丽鹏股份,0.07,-53.33,,2.56,,5643.66,11.36,,08-20
2308,300163,先锋新材,0.07,71.25,1.48,4.68,0.14,3247.36,406.78,,08-20
2309,600067,冠城大通,0.02,-91.67,,0.49,,3424.41,-88.9,,08-20
2310,600136,当代明诚,0.04,-73.33,,0.99,,2019.95,-9.08,,08-20
2311,002502,骅威文化,0.21,200.0,,2.83,,8875.77,263.72,10转10,08-20
2312,600157,永泰能源,0.02,-54.86,,1.16,,23773.19,-45.93,10派0.4,08-20
2313,000069,华侨城A,0.19,-1.03,,4.1,,157976.3,11.69,,08-20
2314,000886,海南高速,0.03,-28.26,,1.28,,3235.99,-29.51,,08-20
